Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Power engineering education: Challenges and opportunities,M. L. Crow,"Department of Electrical and Computer Engineering at the Missouri University of Science & Technology, Rolla, MO 65409, USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,1,"This paper presents a summary of the presentation given at the IEEE Power Engineering Society 2008 General Meeting in the Panel Session ldquoEducation of the Power Engineer of the Future"". In this paper the author presents the challenges facing the current engineering student and the faculty who teach them. Challenges include declining student interest, volatile job markets, and the changing profile of the power and energy industry.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596593,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596593,power engineering education,Energy storage;Engineering education;Engineering profession;Engineering students;Power & Energy Society;Power engineering;Power engineering and energy;Power engineering education;Power system protection;Wind turbines,power engineering education,Education of the Power Engineer of the Future;IEEE Power Engineering Society 2008 General Meeting in the Panel Session;energy industry;job markets;power engineering education;power industry;student interests,,0,,,,,20-24 July 2008,,IEEE,IEEE Conferences
Improved topology error detection via optimal measurement placement,J. Chen; A. Abur,"Department of Electrical Engineering, Texas A&M University, College Station, 77843 USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,6,"Topology errors are known to significantly affect the performance of state estimators. There are methods which are developed for detecting and identifying topology errors based on the measurement residuals. However, the capability to detect and identify topology errors is related to the measurement locations and network configuration. In some cases, topology errors associated with certain branches can not be detected. The topology error detection capability can be improved by adding extra measurements at strategic locations. In this paper, this will be accomplished by using both phasor measurements and traditional measurements. It will be shown that a few extra measurements can drastically improve the capability to detect and identify topology errors in a given system. The proposed meter placement algorithm will be described and illustrative case studies will be presented.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596316,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596316,Meter Placement;Phasor Measurement Units;State Estimation;Topology Error Processing,Data processing;Medical services;Network topology;Observability;Phase detection;Phasor measurement units;Power measurement;Power system measurements;State estimation;Substations,error detection;power system measurement;power system state estimation,optimal measurement placement;phasor measurements;power system;state estimators;topology error detection,,2,8,,,,20-24 July 2008,,IEEE,IEEE Conferences
IEEE Power Engineering Society 2008 General Meeting Control Center Issues NERC Reliability Standards Development,,,2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,4,"The North American Electric Reliability Corporation (NERC) is a nonprofit corporation formed for the purpose of becoming the North American electric reliability organization (ERO). NERC's predecessor organization, the North American Electric Reliability Council, was formed in 1968 as a result of the Northeast blackout in 1965 to promote the reliability of the bulk power systems of North America. Since its formation in 1968, NERC has been committed to ensuring the reliability of the North American bulk power system. To achieve that, NERC develops and enforces reliability standards; assesses North American bulk power system adequacy annually; audits owners, operators, and users for preparedness; and educates trains, and certifies industry personnel. NERC is a self-regulatory organization, subject to oversight by the United States (U.S.) Federal Energy Regulatory Commission (FERC) and governmental authorities in Canada. This paper discusses the NERC control center issues and the development of reliability standards for power systems.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596816,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596816,,,power system reliability;standards,Canada;FERC;NERC reliability standards development;North American Electric Reliability Corporation;North American Electric Reliability Council;United States Federal Energy Regulatory Commission;bulk power systems,,0,,,,,20-24 July 2008,,IEEE,IEEE Conferences
Future Power Delivery Systems,M. Baran; A. Huang,"SPEC, NC State University, USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,2,Summary form only given. This presentation will focus on the current research aimed at development of future electric power delivery and management systems that will be needed for integrating highly distributed and scalable alternative generating sources and storage with existing power distribution systems.,1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596813,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596813,,Distributed power generation;Energy management;Mesh generation;Power distribution;Power generation;Power system management;Power system protection;Research and development management;Solar power generation;Wind energy generation,distributed power generation;energy storage,distributed sources;electric power delivery;energy storage;management systems;power distribution systems;scalable alternative generating sources,,0,,,,,20-24 July 2008,,IEEE,IEEE Conferences
Network security management tool for distribution systems,Z. A. Styczynski; C. O. Heyde; B. M. Buchholz; O. Ruhle,"Otto-von-Guericke University Magdeburg, Germany",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,5,"In this paper a network security management tool, which is integrated in a power system simulator, has been introduced. The network security management (NSM) is used by network operators to avoid insecure network states due to high penetration of DGs. Especially in situations of low load and strong wind the operation parameters e.g. current or voltage can exceed the allowable values. The NSM tool introduced in this paper is performing new NSM algorithms within the power flow calculations. On the one hand, it can be used as an online application to support the network operator in his decisions using measurements and short time forecasts. On the other hand, by using the tool for long time simulations it can be used to optimize the NSM algorithms, to optimally plan network reinforcement and to predict the intensity of the NSM system on the profitability of the DG operators.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4595971,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4595971,Generation Response;Network Security;Network Security Management;Power System;Power System Simulation;Remedial Measures,Distributed power generation;Energy management;Load flow;Power generation;Power measurement;Power system management;Power system security;Power system simulation;Predictive models;Wind energy generation,distribution networks;power system management;power system security,distribution systems;network security management tool;power flow calculations;power system simulator,,0,7,,,,20-24 July 2008,,IEEE,IEEE Conferences
An evaluation of network time protocol for clock synchronization in wide area measurements,Lei Wang; J. Fernandez; J. Burgett; R. W. Conners; Yilu Liu,"Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, 24061 USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,5,"To study and gain a better understanding of the power system dynamics, the concept of building a frequency monitoring network (FNET) was proposed in 2000 [1] and has been realized in 2003. The FNET system consists of many high dynamic precision frequency and phasor estimation devices, also known as frequency disturbance recorders (FDR). These FDRs can be used at any 110 V or 220 V wall outlet and transmit measured data remotely via the Ethernet. The FDRs can measure power system parameters including frequency, voltage, and phase angle. There are currently more than 40 FDRs placed strategically in different locations within the North America power grids to monitor the entire power network. Furthermore, the FDRs are currently synchronized in time via a GPS receiver. This paper discusses the feasibility study of the Internet timing synchronization. The motivation for Internet timing synchronization was ignited during the research for a more portable and economical yet still highly accurate FDR design. Test results are presented from several different NTP implementation methods. Based on the correlation between time synchronization and phasor accuracy, it was concluded that the current NTP is not yet a feasible synchronization tool for accurate phasor measurement.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596234,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596234,Frequency Monitoring Network;Global Positioning System (GPS);Network Timing Protocol (NTP);Phasor Measurement Unit (PMU);Wide-Area Measurement;computer time synchronization;power system measurement,Clocks;Ethernet networks;Frequency estimation;Frequency synchronization;Internet;Monitoring;Power system dynamics;Protocols;Timing;Wide area measurements,Internet;clocks;computerised monitoring;fault diagnosis;phase estimation;power engineering computing;power system measurement;synchronisation,Ethernet;GPS receiver;Internet timing synchronization;clock synchronization;frequency disturbance recorders;frequency monitoring network;network time protocol;phasor measurement;power system dynamics;wide area measurements,,2,9,,,,20-24 July 2008,,IEEE,IEEE Conferences
An advanced security constrained OPF that produces correct market-based pricing,R. J. Thomas; C. E. Murillo-Sanchez; R. D. Zimmerman,"Electrical Engineering at Cornell University, Ithaca, NY, 14853, USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,6,"Security constrained optimal power flow programs are important tools for ensuring correct dispatch of supply while respecting the many constraints imposed by the delivery system. In addition to getting the dispatch right, locational prices must be calculated with equal precision in order to infuse market participants with the proper incentives for operation and investment. In this paper we discuss a co-optimization framework in which contingencies, ancillary services, and network constraints are correctly accounted for in determining both dispatch and price.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596331,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596331,Contingencies;OPF;Reliability;SCOPF,Biological system modeling;Generators;Load flow;Load modeling;Pricing;Real time systems;Security,load dispatching;load flow;power markets;power system economics;power system security,advanced security constrained OPF;co-optimization framework;correct market-based pricing;market participants;network constraints;optimal power flow programs,,12,20,,,,20-24 July 2008,,IEEE,IEEE Conferences
A model curriculum for power engineering,R. E. Fehr,"Department of Electrical Engineering, University of South Florida, Tampa, 33620 USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,5,"Attempting to develop large numbers of power engineers who are able to address both creatively and cost-effectively the challenges posed by todaypsilas power industry within the present academic constraints of 4 years and 120-128 credit hours is an overwhelming and quite possibly disheartening task. Trying to restructure the academic system substantially is equally as daunting. Yet, academia must find a way to produce substantial numbers of engineers properly trained and qualified to replace the growing number of experienced engineers leaving the power industry primarily due to the aging and subsequent retirement of the Baby Boom generation. This paper addresses the topic of power engineering education reform by assessing specifically what industry needs from academia, then proposing an academic model which meets the industry needs while being compatible with the evolving academic framework now in place. The resulting robust curriculum model, currently in the implementation stage at the University of South Florida, is being embraced by students, industry recruiters, and hiring managers. Early indications show strong signs of success. It is expected that this power engineering curriculum model will serve as the archetype for other academic institutions to follow.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596572,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596572,education;internship;licensure;power engineering education;professionalism;work-study;workforce,Aging;Pediatrics;Power engineering;Power engineering and energy;Power engineering education;Power generation;Power industry;Recruitment;Retirement;Robustness,power engineering education,University of South Florida;academic constraints;academic model;academic system;model curriculum;power engineering education reform;power industry,,4,23,,,,20-24 July 2008,,IEEE,IEEE Conferences
"NERC CIP compliance: We've identified our critical assets, now what?",M. Mertz,"Southern California Edison, Alhambra, USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,2,"As we move through the NERC CIP compliance timeline toward ldquoauditable compliancerdquo, utilities are struggling to find reasonable solutions to meet compliance expectations. By now, most utilities have developed a risk-based assessment methodology, identified the relevant critical assets, and the design and implementation of technical solutions is well underway. Unfortunately, technical solutions cannot solve some of the most difficult challenges associated with compliance. Like many standards, the NERC CIP requirements tell only the ldquowhatrdquo, and offer little in the area of ldquohowrdquo. The following paper will identify some of the early compliance barriers and provide some recommendations for those on the front lines of compliance.",1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596272,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596272,Communication Protocols;Cyber Security;Digital Communication;Electric Systems;Gas Systems;SCADA;System Operations;Water Systems,Best practices;Circuits;Communication system security;Costs;Digital communication;Electric shock;Environmental management;Information security;Protocols;Substations,electricity supply industry;risk management;security of data,NERC CIP compliance;North American Electric Reliability Council;critical assets;cyber security;public utilities;risk-based assessment,,2,,,,,20-24 July 2008,,IEEE,IEEE Conferences
Information architecture governs the specification of standardized public data interfaces for an EMS,J. P. Britton,"AREVA T&D Corporation, USA",2008 IEEE Power and Energy Society General Meeting - Conversion and Delivery of Electrical Energy in the 21st Century,20080812,2008,,,1,2,CIGRE D2.24 is creating a Reference Architecture in seven parts governing the design of software systems for operating power grids and power markets. This paper gives an overview of the Information Architecture part.,1932-5517;19325517,CD-ROM:978-1-4244-1906-7; POD:978-1-4244-1905-0,10.1109/PES.2008.4596542,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4596542,,Business communication;Computer architecture;Computer integrated manufacturing;Costs;Medical services;Mesh generation;Power generation;Service oriented architecture;Software design;Software systems,power engineering computing;power grids;power markets;public domain software;software architecture,CIGRE D2.24;information architecture;power grids;power markets;software systems design;standardized public data interfaces,,0,,,,,20-24 July 2008,,IEEE,IEEE Conferences
