Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Data exchange in self-healing applications for power distribution networks,I. Dzafic; N. Lecek; T. Donlagic,"Energy Sector at Siemens AG, Humboldtstr. 59, 90459 Nuernberg",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"Manual operator's interventions in control centers are most common way of handling today's power networks. Replacing manual interventions with a sophisticated algorithm running in closed-loop allows the network to be more flexible, and prevent network operators from making mistakes. Such algorithm must fulfill very high expectations about reliability, security and performance. The approach described in this paper shows that, by enabling data exchange between different substations, and by exploiting substations unused resources, it is possible to obtain a self-healing of distribution network in closed loop in which risks of manual interventions are reduced to minimum.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345588,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345588,Self-healing;control centers;data exchange;distribution networks;network topology;substations,DNA;Reliability;Smart grids;Substations;Switches;Transport protocols,closed loop systems;fault tolerant computing;power distribution control;substations,closed loop systems;control centers;data exchange;manual operator interventions;power distribution networks;self-healing applications;substations,,2,,16,,,,22-26 July 2012,,IEEE,IEEE Conferences
The information hierarchy for the future grid,P. W. Sauer,"University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,2,This panel presentation will present results from the Department of Energy project on â€œThe Future Grid to Enable Sustainable Energy Systems: An Initiative of the Power Systems Engineering Research Centerâ€ù. That initiative included four white papers on broad analysis needs related to information issues in the smart grid. These needs typically take the form of questions that comprise a future research agenda. The highlights of these four white papers will be presented in this panel presentation.,1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345585,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345585,Communication for AMI;Cyber Security;Information Hierarchy;Networked PMU measurements;Smart Grid Information Technology,Computer security;Educational institutions;Phasor measurement units;Power system stability;Smart grids,power measurement;security of data;smart power grids;sustainable development,Department of Energy project;Power Systems Engineering Research Center;future grid;information hierarchy;smart grid;sustainable energy systems,,0,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
Anomaly detection of building systems using energy demand frequency domain analysis,M. Wrinch; T. H. M. EL-Fouly; S. Wong,"Hedgehog Technologies, North Vancouver, BC, Canada V7L 1L7",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"This paper presents and demonstrates a method to quickly identify when regular periodic activities, such as a daily night setback on a thermostat, are inappropriately configured or accidentally reset. Anomalies in periodic building operations are identified by analyzing smart meter electrical demand data in the frequency domain with a weekly travelling time window instead of using time domain functions such as load factor. Initial experiments on a real site found that spectral energy signals for periodic (frequency) hours of 4, 6, 8, 12 and days 1, 3.5 and 7 to be greatly reduced when a device is not functioning appropriately. In addition, the ratio of the DC offset (0 Hz) energy with the other higher periodic energies can normalize the periodic energies to a relative index that can then be used for comparing other seasons and other buildings for periodical performance.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344790,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344790,Energy conservation;Energy efficiency;Energy management;Load management;Power system measurements;Smart grids,Automation;Buildings;Harmonic analysis;Thermostats;Time domain analysis;Time frequency analysis,building management systems;frequency-domain analysis;smart meters;thermostats;time-domain analysis,DC offset;anomaly detection;building systems;energy demand frequency domain analysis;load factor;night setback;periodic activities;periodic building operations;periodic energies;relative index;smart meter electrical demand data;spectral energy signals;thermostat;time 1 day;time 12 hour;time 3.5 day;time 4 hour;time 6 hour;time 7 day;time 8 hour;time domain functions;travelling time window,,5,,14,,,,22-26 July 2012,,IEEE,IEEE Conferences
Online systems potential applications in intelligent power grids,H. I. Elsayed; B. K. Johnson; L. L. Lai,"Planning Dept., Qatar Gen. Electr. & Water Corp., Doha, Qatar",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"This is a survey paper that highlights potential applications of online systems in modern power systems. The objective of this paper is to survey various topics in online analysis and controls systems, and to assess potential for applying them into utilities' power systems. It outlines the benefits of online systems in increasing effectiveness and efficiency, while leaving it at the initiatives of power utilities to consider applying them as part of the smart grid. The topics provided a summary of what others have written in online systems and in some areas applied in pilot cases to perform state estimation, simulation, wide area and online controls, power system information security, dynamic stability limits, load shedding, spinning reserve, loading equipment to thermal limits, determining maximum transfer limits, fault identification and detection, integration of decentralized controllers etc. Standards on these online systems topics are just starting to come into use, most are more related to the data exchange and the communication than to the applications.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344789,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344789,Online Analysis;Online Controls;Online System,Analytical models;Monitoring;Power system dynamics;Power system stability;Stability analysis;State estimation,load shedding;power system control;power system security;smart power grids;state estimation;voltage control,controls systems;data exchange;decentralized controllers;dynamic stability limits;intelligent power grids;load shedding;loading equipment;modern power systems;online analysis;online collaborative voltage stability control;online controls;online systems potential applications;power system information security;power utilities;smart grid;spinning reserve;state estimation;wide area controls,,2,,30,,,,22-26 July 2012,,IEEE,IEEE Conferences
Optimum location of master agents in an agent based zone 3 protection scheme designed for robustness against hidden failure induced trips,S. Garlapati; S. K. Shukla,"Department of ECE, Virginia Tech, Blacksburg, Virginia 24060",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"The post-mortem analysis of few blackouts in US and Europe concluded that the hidden failure induced tripping of distance relays is one of the primary causes of blackouts. In order to provide the distance relays with situational awareness and improve their robustness to hidden failures, a non-intrusive agent based relay supervised distance protection scheme is proposed in [1] and their results seemed promising. Each relay is associated with an agent who has the ability to sense and communicate. The communication between hierarchically distinguished master and slave agents aid relays to differentiate a fault as a true fault or a hidden failure induced fault and respectively to trip or not to trip. The methodology presented in [1] is limited to single master agent and multiple slave agents communication therefore it can only be applied to smaller power system networks. In order to adapt the relay supervision scheme to a geographically widely distributed larger bus system, more than one master agent is required because the use of a single master agent may result in slave agent to master agent round trip communication delays greater than the relay fault clearing times which defeats the purpose of the relay supervision scheme. Therefore for a larger power grid that needs multiple master agents, finding the number of master agents required and the location of the master agents is an issue that has to be addressed. In this paper we modelled the problem of minimizing the number of master agents required to serve the slave agent queries and finding an optimum location for the master agents as a multiple facility location problem. Networking simulations are performed using OPNET and optimization models are developed and simulated using IBM ILOG CPLEX.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345695,IEEE C37.118;agents;distance relays;hidden failure;multiple facility location,Delay;Equations;Power transmission lines;Protective relaying,power grids;power system faults;power system protection;power system relaying;power system simulation,IBM ILOG CPLEX;OPNET;agent based zone 3 protection scheme;distance relays;geographically widely distributed larger bus system;hidden failure induced trips;master agents;multiple facility location problem;networking simulations;nonintrusive agent;optimization models;post-mortem analysis;power grid;power system networks;relay fault clearing times;relay supervised distance protection scheme;relay supervision scheme;round trip communication delays;situational awareness;slave agents;true fault,,0,,16,,,,22-26 July 2012,,IEEE,IEEE Conferences
Blackout model considering slow process and SOC analysis,J. Qi; S. Mei,"State Key laboratory of Power Systems, Department of Electrical Engineering, Tsinghua University, Beijing 100084, China",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"In this paper, a blackout model that considers the slow process at the beginning of blackouts is proposed based on the improved OPA model. The model contains two layers of iteration. The inner iteration, which describes the fast dynamics of the system, simulates the power system cascading failure, including the tree contact and failure of lines caused by heating. Compared with the improved OPA model, the outer iteration, which describes the long-term slow dynamics of the system, adds the simulation of tree growth and utility vegetation management (UVM). Moreover, the proposed model also improves the simulation of protective relays and the dispatching center and makes them closer to practical conditions. The effectiveness of the proposed model is verified by the simulation results of Northeast Power Grid of China.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6343946,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6343946,Improved OPA model;SOC;slow process,Dispatching;Heating;Power system dynamics;Power system faults;Power system protection;Relays;Vegetation,iterative methods;load dispatching;power grids;power system faults;power system management;power system reliability;power system simulation;relay protection,Northeast Power Grid of China;SOC analysis;UVM;blackout model;dispatching center;heating;improved OPA model;inner iteration;iteration layer;long-term slow dynamics;power system cascading failure;protective relay simulation;slow process;tree contact;tree growth;utility vegetation management,,1,,18,,,,22-26 July 2012,,IEEE,IEEE Conferences
Implementation of an Electric Vehicle test bed controlled by a Virtual Power Plant for contributing to regulating power reserves,F. Marra; D. Sacchetti; A. B. Pedersen; P. B. Andersen; C. TrÃ_holt; E. Larsen,"Centre for Electric Technology, Department of Electrical Engineering, Technical University of Denmark, 2800 Kgs. Lyngby, Denmark",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"With the increased focus on Electric Vehicles (EV) research and the potential benefits they bring for smart grid applications, there is a growing need for an evaluation platform connected to the electricity grid. This paper addresses the design of an EV test bed, which using real EV components and communication interfaces, is able to respond in real-time to smart grid control signals. The EV test bed is equipped with a Lithium-ion battery pack, a Battery Management System (BMS), a charger and a Vehicle-to-Grid (V2G) unit for feeding power back to the grid. The designed solution serves as a multifunctional grid-interactive EV, which a Virtual Power Plant (VPP) or a generic EV coordinator could use for testing different control strategies, such as EV contribution to regulating power reserves. The EV coordination is realized using the IEC 61850 modeling standard in the communication. Regulating power requests from the Danish TSO are used as a proof-of-concept, to demonstrate the EV test bed power response. Test results have proven the capability to respond to frequent power control requests and they reveal the potential EV ability for contributing to regulating power reserves.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345269,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345269,Electric vehicles;Regulating power;Test Bed;Virtual Power Plant,Batteries;Hybrid power systems;IEC standards;Power generation;Relays;Vehicles,IEC standards;battery management systems;power system control;smart power grids,Danish TSO;EV coordination;EV test bed;IEC 61850 modeling standard;battery management system;communication interfaces;control strategies;electric vehicle test bed;electricity grid;evaluation platform;generic EV coordinator;lithium-ion battery pack;multifunctional grid-interactive EV;power requests;power reserves;smart grid applications;smart grid control signals;vehicle-to-grid unit;virtual power plant,,14,,25,,,,22-26 July 2012,,IEEE,IEEE Conferences
An online intelligent alarm-processing system based on abductive reasoning network,J. Mu; W. Wu; H. Sun; Q. Guo; Y. Zhang; B. Zhang,"Department of Electrical Engineering, State Key Laboratory of Power Systems, Tsinghua University, Beijing 100084, China",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,5,"Large amounts of alarms coming into control center when faults occur have harassed operators for a long time, especially when there are false alarms, missing alarms or multiple faults. An online intelligent alarm-processing system based on abductive reasoning network (ARN) is developed to deal with the alarms automatically. Models and real-time data of the power system are collected from both supervisory control and data acquisition system / energy management system (SCADA/EMS) and fault information system, including primary and secondary models. First, when alarms arrive, rules reflecting cause-effect relationship between faults and alarms and between alarms themselves are established automatically, and the whole abductive reasoning network is constructed. Then, all the coming alarms are located on the network and traced back to the roots. Third, possible diagnoses are sifted and picked out according to their false alarm rate and missing alarm rate. At last, the diagnosis results are presented to the operators in several friendly manners. The system has been applied to the district control center of Jiaxing, China and is functioning well.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345528,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345528,Abductive reasoning network (ARN);SCADA/EMS;alarm processing;fault diagnosis;fault information system,Circuit faults;Cognition;Educational institutions;Energy management;Fault diagnosis;Object oriented modeling;Power systems,SCADA systems;alarm systems;energy management systems;power system control;power system faults,China;Jiaxing;SCADA;abductive reasoning network;district control center;energy management system;false alarms;fault information system;missing alarms;multiple faults;online intelligent alarm-processing system;power system;supervisory control and data acquisition system,,5,,17,,,,22-26 July 2012,,IEEE,IEEE Conferences
Applying IEC standards for communication and data management as the backbone of smart distribution,B. M. Buchholz; C. Brunner; A. Naumann; A. Styczynski,"NTB Technoservice, Pyrbaum, Germany",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"The enhancement of distribution networks into smart grids is accompanied by new functions and technologies like network automation, smart metering and de-centralized energy management. Consequently, the information and communication technology (ICT) must penetrate the distribution systems down to the end consumers on the low voltage network what is not the case in today system. Also on the different control levels of electric networks various communication protocols and information systems are applied which do not allow seamless information exchange. Resulting, there is a strong need for uniformity of the data models and the services of the communication system for the overall network control and data acquisition. This uniformity can be achieved by the application of IEC 61850. Additionally, there is a need for harmonizing IEC 61850 with the standards for gateways in home automation and smart meters and also with data base systems using Common Information Models (CIM / IEC 61968). A pilot application in the framework of the European lighthouse project Web2Energy is demonstrated.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345011,Automation;Communication;Energy Management;Metering;Power Distribution System;Standard1,Computer integrated manufacturing;Data models;Europe;IEC standards;Protocols,IEC standards;control engineering computing;data acquisition;home automation;information technology;internetworking;management information systems;network servers;power distribution control;power engineering computing;power system harmonics;protocols;smart meters;smart power grids,CIM-IEC 61968;European lighthouse project Web2Energy;ICT;IEC 61850 standard application;common information model;communication management;communication protocol;data acquisition;data base system;data management;decentralized energy management;distribution network enhancement;electric network control;gateway;home automation network;information and communication technology;information exchange;low voltage network;smart grid;smart metering,,2,,9,,,,22-26 July 2012,,IEEE,IEEE Conferences
"System reliability and risk management: Effects on system Planning, operation, asset management, and security",M. G. Lauby,"North American Electric Reliability Corporation, based in Atlanta, Georgia, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,4,"The goal of risk assessment of reliability performance is to provide a view of risks to reliability based on historic performance. The objective is to integrate many ongoing efforts underway providing technical analysis and feedback on risk attributes and reliability trends to stakeholders, regulators, policymakers and industry. This assessment requires advanced development and understanding of risk attributes impacting reliability performance and the corresponding metrics that provide insight to the performance of the bulk power system.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344694,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344694,Bulk Power System;Data Collection;Outage Data;Reliability;Risk Assessment;Transmission,Indexes;Industries;Measurement;Power system reliability;Reliability;Risk management,asset management;power system planning;power system reliability;power system security;risk management,asset management;bulk power system;power system planning;power system reliability;reliability performance;risk management,,0,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
